[     3.396577] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     3.396893] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     3.397209] S 4Fa 2Fa P  | KEY released/idle

[RX 0x32 '2']
[     3.595679] S 68a 00a P  | DIG1 seg=0x00 ' '
[     3.595995] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     3.596294] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     3.596611] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     3.596927] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     3.596927] >>> KEY PRESSED KI3 / DIG4   <== CHANNEL 2 answered with 0x57
[     3.795414] S 68a 06a P  | DIG1 seg=0x06 '1'
[     3.795414] >>> DISPLAY: "1   "
[     3.795714] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     3.795714] >>> DISPLAY: "11  "
[     3.796036] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     3.796036] >>> DISPLAY: "117 "
[     3.796355] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     3.796674] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     3.995180] S 68a 06a P  | DIG1 seg=0x06 '1'
[     3.995480] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     3.995801] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     3.996121] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     3.996441] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4

[channel 2 -> GPIO26 pulsed 800 ms; watching the bus]
[     4.395612] S 68a 06a P  | DIG1 seg=0x06 '1'
[     4.395891] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     4.396184] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     4.396463] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     4.396743] S 4Fa 17a P  | KEY released/idle
[     4.396743] >>> KEY released/idle
[     4.595415] S 68a 06a P  | DIG1 seg=0x06 '1'
[     4.595693] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     4.595973] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     4.596266] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     4.596545] S 4Fa 17a P  | KEY released/idle
[     4.795164] S 68a 06a P  | DIG1 seg=0x06 '1'
[     4.795442] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     4.795720] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     4.796013] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     4.796291] S 4Fa 17a P  | KEY released/idle
[     4.994915] S 68a 06a P  | DIG1 seg=0x06 '1'
[     4.995193] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     4.995485] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     4.995765] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     4.996042] S 4Fa 17a P  | KEY released/idle
[     5.194711] S 68a 06a P  | DIG1 seg=0x06 '1'
[     5.194989] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     5.195267] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     5.195561] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     5.195839] S 4Fa 17a P  | KEY released/idle
[     5.394475] S 68a 06a P  | DIG1 seg=0x06 '1'
[     5.394792] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     5.395109] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     5.395426] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     5.395723] S 4Fa 17a P  | KEY released/idle
[     5.594252] S 68a 06a P  | DIG1 seg=0x06 '1'
[     5.594549] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     5.594866] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     5.595183] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     5.595499] S 4Fa 17a P  | KEY released/idle
[     5.794041] S 68a 06a P  | DIG1 seg=0x06 '1'
[     5.794357] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     5.794675] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     5.794991] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     5.795308] S 4Fa 17a P  | KEY released/idle
[     5.993761] S 68a 06a P  | DIG1 seg=0x06 '1'
[     5.994077] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     5.994396] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     5.994711] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     5.995028] S 4Fa 17a P  | KEY released/idle
[     6.193549] S 68a 06a P  | DIG1 seg=0x06 '1'
[     6.193866] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     6.194183] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     6.194481] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     6.194797] S 4Fa 17a P  | KEY released/idle
[     6.393305] S 68a 06a P  | DIG1 seg=0x06 '1'
[     6.393622] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     6.393939] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     6.394256] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     6.394572] S 4Fa 17a P  | KEY released/idle

[RX 0x42 'B']

[LONG PULSE - this starts continuous travel]
[     6.593090] S 68a 06a P  | DIG1 seg=0x06 '1'
[     6.593406] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     6.593705] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     6.594022] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     6.594338] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     6.594338] >>> KEY PRESSED KI3 / DIG4   <== CHANNEL 2 answered with 0x57
[     6.792865] S 68a 06a P  | DIG1 seg=0x06 '1'
[     6.793184] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     6.793505] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     6.793825] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     6.794145] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     6.992662] S 68a 06a P  | DIG1 seg=0x06 '1'
[     6.992982] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     6.993303] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     6.993625] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     6.993944] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     7.193397] S 68a 06a P  | DIG1 seg=0x06 '1'
[     7.193675] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     7.193967] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     7.194247] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     7.194525] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     7.393201] S 68a 06a P  | DIG1 seg=0x06 '1'
[     7.393480] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     7.393758] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     7.394052] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     7.394330] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     7.592976] S 68a 06a P  | DIG1 seg=0x06 '1'
[     7.593255] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     7.593547] S 6Ca 07a P  | DIG3 seg=0x07 '7'
[     7.593828] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     7.594106] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     7.792711] S 68a 06a P  | DIG1 seg=0x06 '1'
[     7.793004] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     7.793282] S 6Ca 7Da P  | DIG3 seg=0x7D '6'
[     7.793282] >>> DISPLAY: "116 "
[     7.793578] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     7.793856] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     7.992465] S 68a 06a P  | DIG1 seg=0x06 '1'
[     7.992745] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     7.993036] S 6Ca 7Da P  | DIG3 seg=0x7D '6'
[     7.993316] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     7.993594] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     8.192227] S 68a 06a P  | DIG1 seg=0x06 '1'
[     8.192505] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     8.192785] S 6Ca 7Da P  | DIG3 seg=0x7D '6'
[     8.193079] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     8.193356] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     8.391970] S 68a 06a P  | DIG1 seg=0x06 '1'
[     8.392248] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     8.392522] S P  | MALFORMED: 0 byte(s), expected 2
[     8.392542] S 6Ca 7Da P  | DIG3 seg=0x7D '6'
[     8.392820] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     8.393099] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     8.591701] S 68a 06a P  | DIG1 seg=0x06 '1'
[     8.591979] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     8.592272] S 6Ca 7Da P  | DIG3 seg=0x7D '6'
[     8.592552] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     8.592830] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     8.791516] S 68a 06a P  | DIG1 seg=0x06 '1'
[     8.791794] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     8.792088] S 6Ca 7Da P  | DIG3 seg=0x7D '6'
[     8.792367] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     8.792646] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4
[     8.991255] S 68a 06a P  | DIG1 seg=0x06 '1'
[     8.991533] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     8.991824] S 6Ca 6Da P  | DIG3 seg=0x6D '5'
[     8.991824] >>> DISPLAY: "115 "
[     8.992105] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     8.992383] S 4Fa 57a P  | KEY PRESSED KI3 / DIG4

[channel 2 -> GPIO26 pulsed 2800 ms; watching the bus]
[     9.390828] S 68a 06a P  | DIG1 seg=0x06 '1'
[     9.391122] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     9.391401] S 6Ca 6Da P  | DIG3 seg=0x6D '5'
[     9.391679] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     9.391971] S 4Fa 17a P  | KEY released/idle
[     9.391971] >>> KEY released/idle
[     9.590572] S 68a 06a P  | DIG1 seg=0x06 '1'
[     9.590866] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     9.591144] S 6Ca 6Da P  | DIG3 seg=0x6D '5'
[     9.591423] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     9.591716] S 4Fa 17a P  | KEY released/idle
[     9.790376] S 68a 00a P  | DIG1 seg=0x00 ' '
[     9.790376] >>> DISPLAY: " 15 "
[     9.790654] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     9.790654] >>> DISPLAY: "  5 "
[     9.790933] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     9.790933] >>> DISPLAY: "    "
[     9.791227] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     9.791505] S 4Fa 17a P  | KEY released/idle
[     9.990209] S 68a 06a P  | DIG1 seg=0x06 '1'
[     9.990209] >>> DISPLAY: "1   "
[     9.990486] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[     9.990486] >>> DISPLAY: "11  "
[     9.990768] S 6Ca 6Da P  | DIG3 seg=0x6D '5'
[     9.990768] >>> DISPLAY: "115 "
[     9.991062] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     9.991340] S 4Fa 17a P  | KEY released/idle
[    10.189974] S 68a 06a P  | DIG1 seg=0x06 '1'
[    10.190252] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    10.190530] S 6Ca 66a P  | DIG3 seg=0x66 '4'
[    10.190530] >>> DISPLAY: "114 "
[    10.190826] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    10.191105] S 4Fa 17a P  | KEY released/idle
[    10.389763] S 68a 00a P  | DIG1 seg=0x00 ' '
[    10.389763] >>> DISPLAY: " 14 "
